gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,conm,curcd,dd1,dlc,dltt,ebit,ebitda,costat,debt,ebitdatodebt
1013,31-Oct-94,1994,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.4,0.4,0.41,64.379,86.037,I,1.21,71.10495868
1013,31-Oct-95,1995,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.41,0.41,0,84.238,110.579,I,0.82,134.852439
1013,31-Oct-96,1996,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,2.247,2.247,6.913,133.184,166.978,I,11.407,14.63820461
1013,31-Oct-97,1997,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.65,0.65,3.109,188.364,238.207,I,4.409,54.02744386
1013,31-Oct-98,1998,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.735,200.735,2.769,225.566,290.675,I,204.239,1.423210063
1013,31-Oct-99,1999,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,10.152,35.152,11.024,311.649,413.739,I,56.328,7.345174691
1013,31-Oct-00,2000,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,28.5,28.5,16.5,523.9,670.1,I,73.5,9.117006803
1013,31-Oct-01,2001,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,1.7,1.7,3,-253.4,-55.6,I,6.4,-8.6875
1013,31-Oct-02,2002,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0,15.7,10.8,-297.1,-192.4,I,26.5,-7.260377358
1013,31-Oct-03,2003,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,8.3,8.3,400,-39.3,19.9,I,416.6,0.047767643
1013,31-Oct-04,2004,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.3,0.3,400,36.5,78.2,I,400.6,0.195207189
1013,31-Oct-05,2005,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.3,0.3,400,91.8,159,I,400.6,0.396904643
1013,31-Oct-06,2006,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0,0,400,72.6,140.4,I,400,0.351
1013,31-Oct-07,2007,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,200.6,200.6,200.6,100.7,167.9,I,601.8,0.278996344
1013,31-Oct-08,2008,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,2.6,2.6,650.7,90.9,173.3,I,655.9,0.264217106
1013,30-Sep-09,2009,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.6,0.6,651,18.3,84.7,I,652.2,0.129868139
1013,30-Sep-10,2010,INDL,C,D,STD,886309,ADC TELECOMMUNICATIONS INC,USD,0.3,0.3,650.8,59.9,121.4,I,651.4,0.186367823
1055,30-Jun-94,1994,INDL,C,D,STD,1907104,AST RESEARCH INC,USD,0.398,50.398,215.294,41.489,67.35,I,266.09,0.25310985
1055,30-Jun-95,1995,INDL,C,D,STD,1907104,AST RESEARCH INC,USD,2.42,158.42,219.224,-105.69,-80.379,I,380.064,-0.211488065
1055,31-Dec-96,1996,INDL,C,D,STD,1907104,AST RESEARCH INC,USD,0.291,175.291,131.737,-352.201,-324.676,I,307.319,-1.056478773
1075,31-Dec-93,1993,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,78.841,226.841,2633.62,532.653,756.211,A,2939.302,0.257275707
1075,31-Dec-94,1994,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,78.512,210.012,2588.525,533.77,771.096,A,2877.049,0.26801629
1075,31-Dec-95,1995,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,8.78,186.58,2510.709,562.424,806.413,A,2706.069,0.29800164
1075,31-Dec-96,1996,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,156.277,173.177,2372.113,543.859,843.366,A,2701.567,0.3121766
1075,31-Dec-97,1997,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,108.695,239.445,2244.248,557.506,925.791,A,2592.388,0.357118996
1075,31-Dec-98,1998,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,168.045,346.875,2048.961,567.128,946.807,A,2563.881,0.36928664
1075,31-Dec-99,1999,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,114.798,153.098,2206.052,578.777,964.345,A,2473.948,0.389800028
1075,31-Dec-00,2000,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,463.469,546.244,1955.083,675.971,1070.381,A,2964.796,0.361030236
1075,31-Dec-01,2001,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,126.14,531.902,2673.078,674.627,1102.53,A,3331.12,0.33097877
1075,31-Dec-02,2002,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,281.023,383.206,2881.695,516.047,940.933,A,3545.924,0.265356223
1075,31-Dec-03,2003,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,425.48,511.561,2897.725,482.053,920.196,A,3834.766,0.239961447
1075,31-Dec-04,2004,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,617.165,688.195,2584.985,506.259,907.364,A,3890.345,0.233234842
1075,31-Dec-05,2005,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,384.947,400.62,2608.455,653.851,1001.503,A,3394.022,0.295078523
1075,31-Dec-06,2006,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,1.596,37.346,3232.633,618.87,977.514,A,3271.575,0.298790032
1075,31-Dec-07,2007,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,163.773,504.434,3127.125,619.251,992.687,A,3795.332,0.26155472
1075,31-Dec-08,2008,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,177.646,848.115,3031.603,530.546,920.904,A,4057.364,0.226971009
1075,31-Dec-09,2009,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,277.693,431.408,3370.524,580.226,984.557,A,4079.625,0.241335172
